SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
39000001,6.0,5.75,4.6,-1,-1,-1,3.5,6.5,6.25
39000002,6.0,4.0,3.4,-1,-1,-1,5.5,6.25,6.5
39000003,8.0,7.75,8.2,-1,-1,-1,6.0,7.0,8.25
39000004,7.8,4.0,7.8,7.25,3.75,6.5,-1,-1,-1
39000005,8.8,4.0,5.4,8.75,9.0,4.25,-1,-1,-1
39000006,6.8,6.5,7.2,-1,-1,-1,5.5,8.25,8.75
39000007,4.0,2.75,3.4,-1,-1,-1,2.0,3.75,5.25
39000008,4.8,3.5,3.8,-1,-1,-1,5.75,6.75,8.5
39000009,6.8,5.5,6.6,-1,-1,-1,6.5,7.25,7.75
39000010,3.8,4.0,4.8,-1,-1,-1,2.5,3.75,5.5
39000011,7.0,6.25,2.4,-1,-1,-1,6.0,8.0,9.5
39000012,5.0,6.5,3.8,-1,-1,-1,4.5,7.25,6.5
39000013,8.8,6.5,7.6,-1,-1,-1,7.25,8.75,9.0
39000014,4.0,5.25,4.4,-1,-1,-1,4.25,5.0,7.25
39000015,7.0,6.5,5.0,-1,-1,-1,4.25,6.75,8.0
39000016,6.6,6.25,5.2,-1,-1,-1,7.0,7.25,8.75
39000017,5.4,5.5,7.0,-1,-1,-1,3.0,7.5,8.0
39000018,6.4,7.0,6.0,-1,-1,-1,6.0,8.0,9.0
39000019,7.4,6.0,5.8,-1,-1,-1,4.75,7.25,8.75
39000020,3.8,5.25,4.6,-1,-1,-1,2.0,6.25,7.0
39000021,6.8,3.75,4.4,-1,-1,-1,5.5,6.5,8.25
39000022,3.0,4.25,3.8,-1,-1,-1,3.25,5.5,5.75
39000023,7.6,5.75,5.8,-1,-1,-1,6.25,6.25,9.75
39000024,7.6,6.25,9.4,6.75,5.25,5.0,-1,-1,-1
39000025,6.2,6.5,4.8,-1,-1,-1,6.25,7.5,8.0
39000026,7.6,7.0,7.0,-1,-1,-1,8.5,9.25,9.75
39000027,6.4,7.25,3.4,-1,-1,-1,4.5,6.75,8.0
39000028,5.4,3.25,3.0,-1,-1,-1,4.5,7.25,6.75
39000029,4.2,7.0,5.8,-1,-1,-1,9.0,7.25,8.75
39000030,6.6,5.25,4.0,-1,-1,-1,2.5,7.5,5.5
39000031,5.2,6.0,3.4,3.75,3.75,4.0,-1,-1,-1
39000032,8.4,7.25,9.0,7.75,8.5,8.75,-1,-1,-1
39000033,6.4,4.0,5.6,4.75,5.5,5.5,-1,-1,-1
39000034,6.4,5.5,2.0,-1,-1,-1,1.5,5.0,7.0
39000035,2.8,5.0,3.2,-1,-1,-1,3.0,4.0,4.25
39000036,4.8,5.75,2.8,-1,-1,-1,4.5,4.5,4.75
39000037,4.8,4.25,3.4,-1,-1,-1,5.25,7.75,8.75
39000038,8.4,7.25,5.8,6.0,6.75,5.5,-1,-1,-1
39000039,7.0,7.25,5.6,3.75,6.0,6.75,-1,-1,-1
39000040,7.8,6.5,7.0,4.25,7.0,7.75,-1,-1,-1
39000041,6.8,6.0,4.2,-1,-1,-1,2.5,6.5,7.5
39000042,3.8,5.25,4.0,-1,-1,-1,2.0,6.25,7.0
39000043,7.2,6.0,4.2,-1,-1,-1,5.0,7.75,8.25
39000044,7.0,5.75,6.2,-1,-1,-1,7.0,7.25,8.25
39000045,6.6,6.5,3.2,-1,-1,-1,7.0,8.5,9.0
39000046,7.2,5.25,4.6,5.0,6.0,7.25,-1,-1,-1
39000047,7.0,6.25,6.2,-1,-1,-1,5.25,7.25,8.5
39000048,6.6,5.5,3.6,-1,-1,-1,4.75,8.0,9.25
39000049,7.0,5.75,3.4,6.0,8.25,4.5,-1,-1,-1
39000050,5.8,6.75,3.6,-1,-1,-1,5.5,6.25,6.75
39000051,8.6,5.75,5.2,7.25,7.75,4.0,-1,-1,-1
39000052,5.8,6.0,3.2,-1,-1,-1,4.0,7.0,8.75
39000053,7.6,6.5,5.0,-1,-1,-1,6.25,8.5,8.75
39000054,5.4,6.0,4.2,-1,-1,-1,4.5,7.0,7.5
39000055,3.8,4.0,3.8,-1,-1,-1,4.5,5.5,7.0
39000056,7.8,7.0,8.2,-1,-1,-1,7.5,7.25,7.75
39000057,6.8,6.0,7.0,-1,-1,-1,8.5,7.0,8.5
39000058,6.4,6.25,6.4,-1,-1,-1,4.5,6.5,7.25
39000059,6.2,4.0,3.0,-1,-1,-1,2.75,4.25,3.0
39000060,5.6,6.0,5.0,-1,-1,-1,6.0,7.25,8.75
39000061,3.2,6.5,2.8,-1,-1,-1,2.25,7.0,8.75
39000062,8.4,5.0,6.8,7.75,6.75,6.0,-1,-1,-1
39000063,8.4,7.25,7.2,-1,-1,-1,4.25,7.75,8.0
